H        1      1      1     1     s  -13.600   1.3000   0.0000   1.0000   0.0000   1   0.666793
He       2      2      1     1     s  -23.400   1.6880   0.0000   1.0000   0.0000   1   0.204956
Li       3      1      1     2     s   -5.400   0.6500   0.0000   1.0000   0.0000   4   24.3
Li       3      1      1     2     p   -3.500   0.6500   0.0000   1.0000   0.0000   4   24.3
Be       4      2      1     2     s  -10.000   0.9750   0.0000   1.0000   0.0000   4   5.60
Be       4      2      1     2     p   -6.000   0.9750   0.0000   1.0000   0.0000   4   5.60
B        5      3      1     2     s  -15.200   1.3000   0.0000   1.0000   0.0000   4   3.03
B        5      3      1     2     p   -8.500   1.3000   0.0000   1.0000   0.0000   4   3.03
C        6      4      1     2     s  -21.400   1.6250   0.0000   1.0000   0.0000   4   1.76
C        6      4      1     2     p  -11.400   1.6250   0.0000   1.0000   0.0000   4   1.76
N        7      5      1     2     s  -26.000   1.9500   0.0000   1.0000   0.0000   4   1.10
N        7      5      1     2     p  -13.400   1.9500   0.0000   1.0000   0.0000   4   1.10
O        8      6      1     2     s  -32.300   2.2750   0.0000   1.0000   0.0000   4   0.802
O        8      6      1     2     p  -14.800   2.2750   0.0000   1.0000   0.0000   4   0.802
F        9      7      1     2     s  -40.000   2.4250   0.0000   1.0000   0.0000   4   0.557
F        9      7      1     2     p  -18.100   2.4250   0.0000   1.0000   0.0000   4   0.557
Ne      10      8      1     2     s  -43.200   2.8790   0.0000   1.0000   0.0000   4   0.3956
Ne      10      9      1     2     p  -20.000   2.8790   0.0000   1.0000   0.0000   4   0.3956
Na      11      1      1     3     s   -5.100   0.7330   0.0000   1.0000   0.0000   4   24.11
Na      11      1      1     3     p   -3.000   0.7330   0.0000   1.0000   0.0000   4   24.11 
Mg      12      2      1     3     s   -9.000   1.1000   0.0000   1.0000   0.0000   4   10.6
Mg      12      2      1     3     p   -4.500   1.1000   0.0000   1.0000   0.0000   4   10.6
Al      13      3      1     3     s  -12.300   1.1670   0.0000   1.0000   0.0000   4   6.8
Al      13      3      1     3     p   -6.500   1.1670   0.0000   1.0000   0.0000   4   6.8
Si      14      4      1     3     s  -17.300   1.3830   0.0000   1.0000   0.0000   4   5.38
Si      14      4      1     3     p   -9.200   1.3830   0.0000   1.0000   0.0000   4   3.38
P       15      5      1     3     s  -18.600   1.7500   0.0000   1.0000   0.0000   4   3.63
P       15      5      1     3     p  -14.000   1.3000   0.0000   1.0000   0.0000   4   3.63
S       16      6      1     3     s  -20.000   2.1220   0.0000   1.0000   0.0000   4   2.90
S       16      6      1     3     p  -11.000   1.8270   0.0000   1.0000   0.0000   4   2.90
Cl      17      7      1     3     s  -26.300   2.1830   0.0000   1.0000   0.0000   4   2.18
Cl      17      7      1     3     p  -14.200   1.7330   0.0000   1.0000   0.0000   4   2.18
Ar      18      8      1     3     s   -0.0000  0.0000   0.0000   1.0000   0.0000   4   1.6411
Ar      18      8      1     3     p   -0.0000  0.0000   0.0000   1.0000   0.0000   4   1.6411
K       19      1      1     4     s   -4.340   0.8740   0.0000   1.0000   0.0000   4   43.4
K       19      1      1     4     p   -2.730   0.8740   0.0000   1.0000   0.0000   4   43.4 
Ca      20      2      1     4     s   -7.000   1.2000   0.0000   1.0000   0.0000   9   25.0
Ca      20      2      1     4     p   -4.000   1.2000   0.0000   1.0000   0.0000   9   25.0
Ca      20      2      1     3     d   -0.000   0.0000   0.0000   1.0000   0.0000   9   25.0
Sc      21      3      1     4     s   -8.870   1.3000   0.0000   1.0000   0.0000   9   17.8
Sc      21      3      1     4     p   -2.750   1.3000   0.0000   1.0000   0.0000   9   17.8
Sc      21      3      2     3     d   -8.510   4.3500   1.7000   0.4228   0.7276   9   17.8
Ti      22      4      1     4     s   -8.970   1.0750   0.0000   1.0000   0.0000   9   14.6
Ti      22      4      1     4     p   -5.440   1.0750   0.0000   1.0000   0.0000   9   14.6
Ti      22      4      2     3     d  -10.810   4.5500   1.4000   0.4206   0.7839   9   14.6
V       23      5      1     4     s   -8.810   1.3000   0.0000   1.0000   0.0000   9   12.4
V       23      5      1     4     p   -5.520   1.3000   0.0000   1.0000   0.0000   9   12.4
V       23      5      2     3     d  -11.000   4.7500   1.7000   0.4755   0.7052   9   12.4
Cr      24      6      1     4     s   -8.660   1.7000   0.0000   1.0000   0.0000   9   11.6 
Cr      24      6      1     4     p   -5.240   1.7000   0.0000   1.0000   0.0000   9   11.6
Cr      24      6      2     3     d  -11.220   4.9500   1.8000   0.5060   0.6750   9   11.6
Mn      25      7      1     4     s   -9.750   0.9700   0.0000   1.0000   0.0000   9   9.4
Mn      25      7      1     4     p   -5.890   0.9700   0.0000   1.0000   0.0000   9   9.4
Mn      25      7      2     3     d  -11.670   5.1500   1.7000   0.5139   0.6929   9   9.4
Fe      26      8      1     4     s   -9.100   1.9000   0.0000   1.0000   0.0000   9   8.4
Fe      26      8      1     4     p   -5.320   1.9000   0.0000   1.0000   0.0000   9   8.4
Fe      26      8      2     3     d  -12.600   5.3500   2.0000   0.5505   0.6260   9   8.4
Co      27      9      1     4     s   -9.210   2.0000   0.0000   1.0000   0.0000   9   7.5 
Co      27      9      1     4     p   -5.290   2.0000   0.0000   1.0000   0.0000   9   7.5
Co      27      9      2     3     d  -13.180   5.5500   2.1000   0.5680   0.6060   9   7.5
Ni      28      10     1     4     s  -10.950   2.1000   0.0000   1.0000   0.0000   9   6.8
Ni      28      10     1     4     p   -6.270   2.1000   0.0000   1.0000   0.0000   9   6.8
Ni      28      10     2     3     d  -14.200   5.7500   2.3000   0.5683   0.6292   9   6.8
Cu      29      11     1     4     s  -11.400   2.2000   0.0000   1.0000   0.0000   9   6.2
Cu      29      11     1     4     p   -6.060   2.2000   0.0000   1.0000   0.0000   9   6.2
Cu      29      11     2     3     d  -14.000   5.9500   2.3000   0.5933   0.5744   9   6.2
Zn      30      2      1     4     s  -12.410   2.0100   0.0000   1.0000   0.0000   4   5.75
Zn      30      2      1     4     p   -6.530   1.7000   0.0000   1.0000   0.0000   4   5.75
Ga      31      3      1     4     s  -14.580   1.7700   0.0000   1.0000   0.0000   4   8.12
Ga      31      3      1     4     p   -6.750   1.5500   0.0000   1.0000   0.0000   4   8.12
Ge      32      4      1     4     s  -16.000   2.1600   0.0000   1.0000   0.0000   4   6.07
Ge      32      4      1     4     p   -9.000   1.8500   0.0000   1.0000   0.0000   4   6.07
As      33      5      1     4     s  -16.220   2.2300   0.0000   1.0000   0.0000   4   4.31
As      33      5      1     4     p  -12.160   1.8900   0.0000   1.0000   0.0000   4   4.31
Se      34      6      1     4     s  -20.500   2.4400   0.0000   1.0000   0.0000   4   3.77
Se      34      6      1     4     p  -14.400   2.0700   0.0000   1.0000   0.0000   4   3.77
